"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","null","Europe"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","null","Europe"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","null","Europe"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","null","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","null","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","null","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","null","Howard+Shore%2c+Emiliana+Torrini"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","http:\/\/tinysong.com\/12ASd","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","http:\/\/tinysong.com\/17GE8","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","http:\/\/tinysong.com\/s4OB","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","http:\/\/tinysong.com\/xamF","Howard+Shore%2c+Emiliana+Torrini"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","http:\/\/tinysong.com\/NK8r","Europe"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","null","Europe"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","http:\/\/tinysong.com\/NK8r","Europe"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","http:\/\/tinysong.com\/12ASd","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","http:\/\/tinysong.com\/17GE8","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","http:\/\/tinysong.com\/s4OB","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","http:\/\/tinysong.com\/NRdo","Howard+Shore%2c+Emiliana+Torrini"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","http:\/\/tinysong.com\/12ASd","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","http:\/\/tinysong.com\/17GE8","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","http:\/\/tinysong.com\/s4OB","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","http:\/\/tinysong.com\/NRdo","Howard+Shore%2c+Emiliana+Torrini"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","http:\/\/tinysong.com\/12ASd","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","http:\/\/tinysong.com\/17GE8","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","http:\/\/tinysong.com\/s4OB","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","http:\/\/tinysong.com\/NRdo","Howard+Shore%2c+Emiliana+Torrini"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","http:\/\/tinysong.com\/12ASd","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","http:\/\/tinysong.com\/17GE8","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","http:\/\/tinysong.com\/s4OB","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","http:\/\/tinysong.com\/NRdo","Howard+Shore%2c+Emiliana+Torrini"
"Night And Day","In Our Heads",6,270.965,false,"http://open.spotify.com/track/37IuqAoH08yjX1zcbxs1ip","http:\/\/tinysong.com\/12ASd","Hot Chip"
"May It Be","Lord Of The Rings-The Fellowship Of The Ring",18,206.544,false,"http://open.spotify.com/track/7LAJWSKK8JMIZAcblgUMS6","http:\/\/tinysong.com\/17GE8","Enya"
"Days Of The Ring - Featuring Annie Lennox Performing "Into The West" Album Version","The Lord Of The Rings - The Return Of The King - The Complete Recordings",52,670.198,false,"http://open.spotify.com/track/78LWZ7WT4s7QDa9zzTLH5Y","http:\/\/tinysong.com\/s4OB","Howard Shore"
"%27%27Long+Ways+To+Go+Yet%27%27","The+Two+Towers%3a+The+Complete+Recordings",0,0.0,true,"http://open.spotify.com/local/Howard+Shore%2c+Emiliana+Torrini/The+Two+Towers%3a+The+Complete+Recordings/%27%27Long+Ways+To+Go+Yet%27%27/485","http:\/\/tinysong.com\/NRdo","Howard+Shore%2c+Emiliana+Torrini"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","http:\/\/tinysong.com\/NK8r","Europe"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","http:\/\/tinysong.com\/NK8r","Europe"
"Oops...I Did It Again","Superhits präsentiert vom Palast Orchester mit seinem Sänger Max Raabe",11,217.708,false,"http://open.spotify.com/track/24GUsHGvIX2KluNSpiVjYs","null","Palast Orchester mit seinem Sänger Max Raabe"
"Raindrops","Raindrops",1,248.35,false,"http://open.spotify.com/track/7ldmPWVb7hQ8MXdMc2z1uL","http:\/\/tinysong.com\/cF8q","Basement Jaxx"
"Paparazzi","Paparazzi",1,208.244,false,"http://open.spotify.com/track/1qqJmOAe4iQ8RQcXDDm9kF","http:\/\/tinysong.com\/LOzm","Lady Gaga"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","null","Europe"
"Happy Up Here","Happy Up Here",1,163.876,false,"http://open.spotify.com/track/1ixtaZc0Adil3yD1ItPqSl","null","Röyksopp"
"Oops...I Did It Again","Superhits präsentiert vom Palast Orchester mit seinem Sänger Max Raabe",11,217.708,false,"http://open.spotify.com/track/24GUsHGvIX2KluNSpiVjYs","null","Palast Orchester mit seinem Sänger Max Raabe"
"Raindrops","Raindrops",1,248.35,false,"http://open.spotify.com/track/7ldmPWVb7hQ8MXdMc2z1uL","null","Basement Jaxx"
"Paparazzi","Paparazzi",1,208.244,false,"http://open.spotify.com/track/1qqJmOAe4iQ8RQcXDDm9kF","null","Lady Gaga"
"Young Forever [Jay-Z + Mr Hudson] - Explicit Album Version","The Blueprint 3",15,254.18,false,"http://open.spotify.com/track/7nmArpOotJ431XYlJXI1vy","null","Jay-Z"
"The Final Countdown","The Final Countdown",1,310.653,false,"http://open.spotify.com/track/3MrRksHupTVEQ7YbA0FsZK","null","Europe"
"Happy Up Here","Happy Up Here",1,163.876,false,"http://open.spotify.com/track/1ixtaZc0Adil3yD1ItPqSl","null","Röyksopp"
